Country,Variant,Start,End,Threshold
PER,Delta,202141,202150,0.9
PER,Omicron BA.1,,,0.9
PER,Omicron BA.2,,,0.9
PHL,Alpha,,,0.9
PHL,Beta,,,0.9
PHL,Delta,202133,202147,0.9
PHL,Omicron BA.1,202149,202150,0.9
PHL,Omicron BA.2,202201,202203,0.9
POL,Alpha,202111,202123,0.9
POL,Beta,,,0.9
POL,Delta,202129,202152,0.9
POL,Omicron BA.1,,,0.9
POL,Omicron BA.2,,,0.9
PRT,Alpha,202113,202115,0.9
PRT,Beta,,,0.9
PRT,Delta,202127,202150,0.9
PRT,Omicron BA.1,,,0.9
PRT,Omicron BA.2,,,0.9
QAT,Alpha,,,0.9
QAT,Beta,,,0.9
QAT,Delta,202130,202149,0.9
QAT,Omicron BA.1,,,0.9
QAT,Omicron BA.2,,,0.9
ROU,Alpha,202107,202108,0.9
ROU,Beta,,,0.9
ROU,Delta,202130,202150,0.9
ROU,Omicron BA.1,,,0.9
ROU,Omicron BA.2,,,0.9
RUS,Alpha,,,0.9
RUS,Beta,,,0.9
RUS,Delta,202123,202148,0.9
RUS,Omicron BA.1,,,0.9
RUS,Omicron BA.2,,,0.9
SAU,Alpha,202114,202115,0.9
SAU,Beta,202128,202129,0.9
SAU,Delta,202126,202128,0.9
SAU,Omicron BA.1,,,0.9
SAU,Omicron BA.2,,,0.9
TUR,Alpha,202115,202117,0.9
TUR,Beta,,,0.9
TUR,Delta,202126,202128,0.9
TUR,Omicron BA.1,202203,202204,0.9
TUR,Omicron BA.2,,,0.9
UKR,Alpha,202111,202119,0.9
UKR,Beta,,,0.9
UKR,Delta,202130,202151,0.9
UKR,Omicron BA.1,,,0.9
UKR,Omicron BA.2,,,0.9
USA,Alpha,,,0.9
USA,Beta,,,0.9
USA,Delta,202129,202150,0.9
USA,Omicron BA.1,,,0.9
USA,Omicron BA.2,,,0.9
ZAF,Alpha,,,0.9
ZAF,Beta,202108,202110,0.9
ZAF,Delta,202128,202129,0.9
ZAF,Omicron BA.1,,,0.9
ZAF,Omicron BA.2,202206,,0.9
