Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
NZL,202010,40 – 50,0,0,0,0,1,1
NZL,202011,30 – 40,0,0,0,0,1,1
NZL,202012,10 – 20,0,0,0,0,1,1
NZL,202012,30 – 40,0,0,0,0,1,1
NZL,202013,10 – 20,0,0,0,0,1,1
NZL,202013,20 – 30,0,0,0,0,1,1
NZL,202013,50 – 60,0,0,0,0,2,2
NZL,202013,60 – 70,0,0,0,0,2,2
NZL,202014,20 – 30,0,0,0,0,1,1
NZL,202014,40 – 50,0,0,0,0,1,1
NZL,202014,50 – 60,0,0,0,0,2,2
NZL,202015,40 – 50,0,0,0,0,1,1
