Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ITA,202005,50 – 60,0,0,0,0,0,1,1
ITA,202005,60 – 70,0,0,0,0,0,4,4
ITA,202006,60 – 70,0,0,0,0,0,3,3
ITA,202007,10 – 20,0,0,0,0,0,1,1
ITA,202007,20 – 30,0,0,0,0,0,2,2
ITA,202007,30 – 40,0,0,0,0,0,2,2
ITA,202007,40 – 50,0,0,0,0,0,2,2
ITA,202007,5 – 10,0,0,0,0,0,1,1
ITA,202007,60 – 70,0,0,0,0,0,5,5
ITA,202007,70 – 80,0,0,0,0,0,2,2
ITA,202008,10 – 20,0,0,0,0,0,1,1
ITA,202008,30 – 40,0,0,0,0,0,2,2
ITA,202008,40 – 50,0,0,0,0,0,1,1
ITA,202008,60 – 70,0,0,0,0,0,2,2
ITA,202008,70 – 80,0,0,0,0,0,3,3
ITA,202008,>= 80,0,0,0,0,0,1,1
ITA,202009,1 – 5,0,0,0,0,0,1,1
ITA,202009,20 – 30,0,0,0,0,0,1,1
ITA,202009,30 – 40,0,0,0,0,0,5,5
ITA,202009,40 – 50,0,0,0,0,0,7,7
ITA,202009,50 – 60,0,0,0,0,0,9,9
ITA,202009,60 – 70,0,0,0,0,0,15,15
ITA,202009,70 – 80,0,0,0,0,0,17,17
ITA,202009,>= 80,0,0,0,0,0,26,26
ITA,202010,10 – 20,0,0,0,0,0,1,1
ITA,202010,20 – 30,0,0,0,0,0,3,3
ITA,202010,30 – 40,0,0,0,0,0,5,5
ITA,202010,40 – 50,0,0,0,0,0,20,20
ITA,202010,50 – 60,0,0,0,0,0,23,23
ITA,202010,60 – 70,0,0,0,0,0,13,13
ITA,202010,70 – 80,0,0,0,0,0,23,23
ITA,202010,>= 80,0,0,0,0,0,30,30
ITA,202011,10 – 20,0,0,0,0,0,2,2
ITA,202011,20 – 30,0,0,0,0,0,8,8
ITA,202011,30 – 40,0,0,0,0,0,11,11
ITA,202011,40 – 50,1,0,0,0,0,17,18
ITA,202011,50 – 60,0,0,0,0,0,34,34
ITA,202011,60 – 70,0,0,0,0,0,37,37
ITA,202011,70 – 80,0,0,0,0,0,37,37
ITA,202011,>= 80,0,0,0,0,0,55,55
ITA,202012,1 – 5,1,0,0,0,0,0,1
ITA,202012,20 – 30,0,0,0,0,0,4,4
ITA,202012,30 – 40,0,0,0,0,0,8,8
ITA,202012,40 – 50,0,0,0,0,0,27,27
ITA,202012,50 – 60,0,0,0,0,0,21,21
ITA,202012,60 – 70,0,0,0,0,0,28,28
ITA,202012,70 – 80,0,0,0,0,0,28,28
ITA,202012,>= 80,0,0,0,0,0,44,44
ITA,202013,10 – 20,0,0,0,0,0,1,1
ITA,202013,20 – 30,0,0,0,0,0,3,3
ITA,202013,30 – 40,0,0,0,0,0,12,12
ITA,202013,40 – 50,0,0,0,0,0,18,18
ITA,202013,5 – 10,0,0,0,0,0,1,1
ITA,202013,50 – 60,0,0,0,0,0,20,20
ITA,202013,60 – 70,0,0,0,0,0,26,26
ITA,202013,70 – 80,0,0,0,0,0,22,22
ITA,202013,>= 80,0,0,0,0,0,35,35
ITA,202014,10 – 20,0,0,0,0,0,2,2
ITA,202014,20 – 30,0,0,0,0,0,10,10
ITA,202014,30 – 40,0,0,0,0,0,5,5
ITA,202014,40 – 50,0,0,0,0,0,7,7
ITA,202014,5 – 10,0,0,0,0,0,1,1
ITA,202014,50 – 60,0,0,0,0,0,13,13
ITA,202014,60 – 70,0,0,0,0,0,15,15
ITA,202014,70 – 80,0,0,0,0,0,14,14
ITA,202014,>= 80,0,0,0,0,0,25,25
ITA,202015,10 – 20,0,0,0,0,0,2,2
ITA,202015,20 – 30,0,0,0,0,0,10,10
ITA,202015,30 – 40,0,0,0,0,0,7,7
ITA,202015,40 – 50,0,0,0,0,0,13,13
ITA,202015,5 – 10,0,0,0,0,0,1,1
ITA,202015,50 – 60,0,0,0,0,0,12,12
ITA,202015,60 – 70,0,0,0,0,0,7,7
